recipe_code	n_point	Act	Safe	r_crd	z_crd	place	hidden	a_nozzle	alfa_crd	betta_crd	speed_table	ice_rate	ice_grind	air_pressure	air_temp	container	d_clamp_form	d_clamp_cont	description	Xr0	Yx0	Zr0	dX	dY	dZ	dA	aB	Xpuls	Ypuls	Zpuls	Apuls	Bpuls	Top_puls	Top_Hz	Low_puls	Low_Hz	Clamp_puls
H340_KAMA_1	27	1	0	253	117	1	0	20	45	0	3	69,5	0	5	0	1	800	1600	0	94	0	354	-174,9	0	70,1	-45	0	-8745	0	3505	-225	0	102800	5140	102800	5140	80000
H340_KAMA_1	28	1	0	242	135	1	0	20	45	0	3	66,5	0	5	0	1	800	1600	0	94	0	354	11	0	-18	0	0	550	0	-900	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	29	1	0	220	137	1	0	20	90	0	3	60,4	0	5	0	1	800	1600	0	94	0	354	212,9	0	-81,1	45	0	10645	0	-4055	225	0	102800	5140	102800	5140	80000
H340_KAMA_1	30	1	0	198	137	1	0	20	90	0	3	54,4	0	5	0	1	800	1600	0	94	0	354	22	0	0	0	0	1100	0	0	0	0	102800	5140	102800	5140	80000
H340_KAMA_1	31	1	0	181	136	1	0	20	87	0	3	49,7	0	5	0	1	800	1600	0	94	0	354	2,9	0	1,4	-3	0	145	0	70	-15	0	102800	5140	102800	5140	80000
H340_KAMA_1	32	1	1	364	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	33	1	1	364	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	34	1	1	600	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	35	1	1	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	36	1	1	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	37	1	1	120	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	38	1	1	180	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	39	1	1	334	99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	40	1	1	334	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	41	1	1	120	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	42	1	1	120	135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H340_KAMA_1	43	1	1	180	135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
